#LAT     	#LON      	#DEPTH	#MAG	#SCALED MAG		
43.1163	12.6651	29.3	4.5	0.09
40.0108	15.4976	277.6	5.5	0.11
41.0488	13.6611	394.9	5.5	0.11
42.1869	13.7818	39.3	4.6	0.092
40.9935	15.0044	27.1	4.5	0.09
40.8805	15.1991	48.1	4.7	0.094
40.8619	15.2691	25	4.3	0.086
40.6626	15.6622	38	4.5	0.09
40.3003	15.9195	66.8	4.2	0.084
40.8188	15.3952	28.5	4.6	0.092
42.6731	15.4337	41.1	4.1	0.082
42.6524	15.417	30.9	4.3	0.086
42.6812	15.4015	56.4	4.4	0.088
43.0551	12.77	25.8	4.5	0.09
40.195	13.8262	399.6	5.2	0.104
43.3019	10.9263	25.1	4.1	0.082
41.8404	15.8877	90.2	5	0.1
43.3525	14.9798	46.9	4.3	0.086
43.193	13.5251	45.3	3.6	0.072
40.048	13.1388	456.5	4	0.08
41.3144	14.4336	44.1	3.3	0.066
42.9659	14.0708	48.4	4	0.08
40.8685	14.1682	405.9	4.1	0.082
43.9934	12.604	28.3	3	0.06
42.8657	13.3874	26.7	3.3	0.066
43.2378	12.9313	40.5	5.3	0.106
40.1122	15.8094	274.4	3.2	0.064
41.7936	15.7013	49.9	4	0.08
40.3421	13.7299	413.4	3.6	0.072
43.366	12.426	35.5	4.6	0.092
43.273	12.921	54.2	4.5	0.09
40.272	13.831	418.3	3.2	0.064
41.409	10.126	31.2	4.4	0.088
41.582	15.659	28.6	3.6	0.072
40.667	16.415	28	3.5	0.07
40.02	15.241	314.1	3.9	0.078
41.766	14.7454	26.6	3.7	0.074
41.7286	14.8043	25.8	3.8	0.076
43.9179	12.3446	52.8	3.2	0.064
40.4197	14.3388	364.4	4.4	0.088
40.3428	15.4815	294.6	4.1	0.082
40.041	15.5949	290.2	3.3	0.066
40.3337	12.9112	464.3	3.8	0.076
43.1376	13.362	30.2	3.3	0.066
40.1377	15.2442	294.8	3.2	0.064
40.0401	12.7177	517.3	4.1	0.082
40.6636	13.5152	405.7	3.5	0.07
43.466	13.4723	41.5	3.7	0.074
41.8505	15.8858	26.4	4.8	0.096
40.6269	16.1108	26.5	3.7	0.074
40.5075	15.0802	303.5	3.7	0.074
42.139	15.7187	45	4.1	0.082
43.6735	12.9979	39.1	4	0.08
42.0529	16.1791	37.6	4.7	0.094
43.6633	13.5074	31.3	3.2	0.064
40.5926	14.9311	302.6	3.4	0.068
40.0414	15.8329	267.1	4.5	0.09
40.0945	14.8617	311.7	3.5	0.07
40.361	12.5483	508.8	2.6	0.052
41.9023	15.7425	30.6	4.1	0.082
40.4959	15.0761	305.8	3.2	0.064
40.0208	15.2522	301.7	3.3	0.066
40.0429	15.8365	264.3	3.3	0.066
40.5731	14.9047	306.8	4.3	0.086
40.0675	14.5501	388.4	3.2	0.064
40.2452	15.2094	336.5	3.1	0.062
43.4234	13.4406	34.2	4.4	0.088
40.4768	14.0562	400	3.6	0.072
40.0305	13.2575	469.1	5	0.1
40.543	14.6873	349.3	3.1	0.062
43.9771	11.8225	28.9	3.5	0.07
43.121	13.5031	27.2	3.8	0.076
43.8627	11.7672	79.6	3.4	0.068
40.6757	13.6126	415.5	3.6	0.072
41.7705	16.1403	33.7	3.4	0.068
40.2963	14.5514	349.5	3.1	0.062
40.166	14.9654	301	3.4	0.068
41.1945	13.6916	387.7	3.3	0.066
40.6952	14.8038	335.5	2.8	0.056
42.9428	13.88	31	3.5	0.07
40.1927	15.5269	285	3.8	0.076
40.4937	15.0494	300.6	4.2	0.084
41.5337	14.3118	319.6	4.1	0.082
40.1049	14.1726	400	3.4	0.068
42.948	14.3046	31	4	0.08
40.968	13.604	400	3	0.06
42.0688	15.5377	26.4	3.6	0.072
40.6297	15.639	293	3.3	0.066
